created_at,entry_id,field1,field2,field3,field4,field5,field6
2025-11-19T13:20:16+00:00,146,624,8,0.000000,0.000000,19-11-2025 18:50:15,1
2025-11-19T13:20:33+00:00,147,635,9,0.000000,0.000000,19-11-2025 18:50:32,1
2025-11-19T13:20:50+00:00,148,631,8,0.000000,0.000000,19-11-2025 18:50:49,1
2025-11-19T13:21:07+00:00,149,634,8,0.000000,0.000000,19-11-2025 18:51:05,1
2025-11-19T13:21:23+00:00,150,243,0,0.000000,0.000000,19-11-2025 18:51:22,0
2025-11-19T13:21:40+00:00,151,926,28,0.000000,0.000000,19-11-2025 18:51:40,1
2025-11-19T13:21:57+00:00,152,926,28,0.000000,0.000000,19-11-2025 18:51:56,1
2025-11-19T13:22:13+00:00,153,975,31,0.000000,0.000000,19-11-2025 18:52:12,1
2025-11-19T13:22:31+00:00,154,972,31,0.000000,0.000000,19-11-2025 18:52:30,1
2025-11-19T13:22:47+00:00,155,909,27,0.000000,0.000000,19-11-2025 18:52:46,1
2025-11-19T13:23:04+00:00,156,848,23,0.000000,0.000000,19-11-2025 18:53:03,1
2025-11-19T13:23:20+00:00,157,803,20,0.000000,0.000000,19-11-2025 18:53:20,1
2025-11-19T13:23:37+00:00,158,775,18,0.000000,0.000000,19-11-2025 18:53:36,1
2025-11-19T13:23:54+00:00,159,740,16,0.000000,0.000000,19-11-2025 18:53:53,1
2025-11-19T13:24:10+00:00,160,717,14,0.000000,0.000000,19-11-2025 18:54:09,1
2025-11-19T13:24:27+00:00,161,711,14,0.000000,0.000000,19-11-2025 18:54:26,1
2025-11-19T13:24:44+00:00,162,690,12,0.000000,0.000000,19-11-2025 18:54:43,1
2025-11-19T13:25:01+00:00,163,687,12,0.000000,0.000000,19-11-2025 18:55:00,1
2025-11-19T13:25:17+00:00,164,670,11,0.000000,0.000000,19-11-2025 18:55:16,1
2025-11-19T13:25:34+00:00,165,666,11,0.000000,0.000000,19-11-2025 18:55:33,1
2025-11-19T13:25:51+00:00,166,666,11,0.000000,0.000000,19-11-2025 18:55:50,1
2025-11-19T13:26:10+00:00,167,671,11,0.000000,0.000000,19-11-2025 18:56:07,1
2025-11-19T13:26:27+00:00,168,660,10,0.000000,0.000000,19-11-2025 18:56:27,1
2025-11-19T13:26:45+00:00,169,646,9,0.000000,0.000000,19-11-2025 18:56:44,1
2025-11-19T13:27:01+00:00,170,650,10,0.000000,0.000000,19-11-2025 18:57:00,1
2025-11-19T13:27:18+00:00,171,225,0,0.000000,0.000000,19-11-2025 18:57:17,0
2025-11-19T13:27:34+00:00,172,1032,35,0.000000,0.000000,19-11-2025 18:57:33,1
2025-11-19T13:27:52+00:00,173,899,26,0.000000,0.000000,19-11-2025 18:57:51,1
2025-11-19T13:28:09+00:00,174,858,23,0.000000,0.000000,19-11-2025 18:58:08,1
2025-11-19T13:28:28+00:00,175,825,21,0.000000,0.000000,19-11-2025 18:58:24,1
2025-11-19T13:28:44+00:00,176,782,18,0.000000,0.000000,19-11-2025 18:58:44,1
2025-11-19T13:29:01+00:00,177,761,17,0.000000,0.000000,19-11-2025 18:59:00,1
2025-11-19T13:29:18+00:00,178,731,15,0.000000,0.000000,19-11-2025 18:59:17,1
2025-11-19T13:29:34+00:00,179,723,14,0.000000,0.000000,19-11-2025 18:59:33,1
2025-11-19T13:29:51+00:00,180,697,13,0.000000,0.000000,19-11-2025 18:59:50,1
2025-11-19T13:30:08+00:00,181,719,14,0.000000,0.000000,19-11-2025 19:00:07,1
2025-11-19T13:30:24+00:00,182,669,11,0.000000,0.000000,19-11-2025 19:00:23,1
2025-11-19T13:30:41+00:00,183,656,10,0.000000,0.000000,19-11-2025 19:00:40,1
2025-11-19T13:30:57+00:00,184,656,10,0.000000,0.000000,19-11-2025 19:00:57,1
2025-11-19T13:31:14+00:00,185,649,9,0.000000,0.000000,19-11-2025 19:01:13,1
2025-11-19T13:31:31+00:00,186,670,11,0.000000,0.000000,19-11-2025 19:01:30,1
2025-11-19T13:31:47+00:00,187,645,9,0.000000,0.000000,19-11-2025 19:01:46,1
2025-11-19T13:32:04+00:00,188,634,8,0.000000,0.000000,19-11-2025 19:02:03,1
2025-11-19T13:32:21+00:00,189,634,8,0.000000,0.000000,19-11-2025 19:02:20,1
2025-11-19T13:32:38+00:00,190,631,8,0.000000,0.000000,19-11-2025 19:02:37,1
2025-11-19T13:32:55+00:00,191,624,8,0.000000,0.000000,19-11-2025 19:02:54,1
2025-11-19T13:33:11+00:00,192,619,7,0.000000,0.000000,19-11-2025 19:03:10,1
2025-11-19T13:33:28+00:00,193,622,8,0.000000,0.000000,19-11-2025 19:03:26,1
2025-11-19T13:33:45+00:00,194,623,8,0.000000,0.000000,19-11-2025 19:03:43,1
2025-11-19T13:34:01+00:00,195,615,7,0.000000,0.000000,19-11-2025 19:04:00,1
2025-11-19T13:34:18+00:00,196,622,8,0.000000,0.000000,19-11-2025 19:04:17,1
2025-11-19T13:34:36+00:00,197,623,8,0.000000,0.000000,19-11-2025 19:04:32,1
2025-11-19T13:34:52+00:00,198,613,7,0.000000,0.000000,19-11-2025 19:04:51,1
2025-11-19T13:35:09+00:00,199,613,7,0.000000,0.000000,19-11-2025 19:05:08,1
2025-11-19T13:35:26+00:00,200,611,7,0.000000,0.000000,19-11-2025 19:05:24,1
2025-11-19T13:35:43+00:00,201,607,7,0.000000,0.000000,19-11-2025 19:05:41,1
2025-11-19T13:35:59+00:00,202,662,10,0.000000,0.000000,19-11-2025 19:05:58,1
2025-11-19T13:36:16+00:00,203,609,7,0.000000,0.000000,19-11-2025 19:06:15,1
2025-11-19T13:36:32+00:00,204,612,7,0.000000,0.000000,19-11-2025 19:06:31,1
2025-11-19T13:36:49+00:00,205,606,7,0.000000,0.000000,19-11-2025 19:06:48,1
2025-11-19T13:37:06+00:00,206,612,7,0.000000,0.000000,19-11-2025 19:07:05,1
2025-11-19T13:37:23+00:00,207,603,6,0.000000,0.000000,19-11-2025 19:07:21,1
2025-11-19T13:37:39+00:00,208,601,6,0.000000,0.000000,19-11-2025 19:07:38,1
2025-11-19T13:37:57+00:00,209,602,6,0.000000,0.000000,19-11-2025 19:07:54,1
2025-11-19T13:38:14+00:00,210,603,6,0.000000,0.000000,19-11-2025 19:08:13,1
2025-11-19T13:38:30+00:00,211,599,6,0.000000,0.000000,19-11-2025 19:08:29,1
2025-11-19T13:38:47+00:00,212,597,6,0.000000,0.000000,19-11-2025 19:08:46,1
2025-11-19T13:39:04+00:00,213,595,6,0.000000,0.000000,19-11-2025 19:09:03,1
2025-11-19T13:39:20+00:00,214,601,6,0.000000,0.000000,19-11-2025 19:09:19,1
2025-11-19T13:39:36+00:00,215,605,7,0.000000,0.000000,19-11-2025 19:09:35,1
2025-11-19T13:39:52+00:00,216,598,6,0.000000,0.000000,19-11-2025 19:09:52,1
2025-11-19T13:40:09+00:00,217,602,6,0.000000,0.000000,19-11-2025 19:10:08,1
2025-11-19T13:40:25+00:00,218,595,6,0.000000,0.000000,19-11-2025 19:10:25,1
2025-11-19T13:40:42+00:00,219,239,0,0.000000,0.000000,19-11-2025 19:10:41,0
2025-11-19T13:40:58+00:00,220,1166,44,0.000000,0.000000,19-11-2025 19:10:58,1
